ObservationDate,Confirmed,Recovered,Deaths,Mortality,Recovery
2020-06-08,4130689.0,2150601.0,219796.0,5.321049345520808,52.06397770444592
2020-06-09,4203562.0,2205979.0,222360.0,5.289799460552741,52.47880250130722
2020-06-10,4267387.0,2257992.0,224845.0,5.2689151464350426,52.912754338896384
2020-06-11,4367948.0,2319637.0,227914.0,5.217873472852698,53.10587488678895
2020-06-12,4434473.0,2368211.0,230036.0,5.1874484296104635,53.40456464612593
2020-06-13,4520975.0,2427922.0,232641.0,5.145814785527458,53.70350422198752
2020-06-14,4617918.0,2482903.0,235019.0,5.08928482489295,53.76671911454469
2020-06-15,4710539.0,2546797.0,237804.0,5.048339478773023,54.0659359788763
2020-06-16,4791098.0,2623642.0,242438.0,5.060176185083252,54.76076673864738
2020-06-17,4908997.0,2701753.0,245646.0,5.00399572458488,55.0367620921341
2020-06-18,4997129.0,2761345.0,248647.0,4.975797102696368,55.258629505061805
2020-06-19,5086756.0,2826009.0,252740.0,4.9685890182269405,55.55621303636345
2020-06-20,5180944.0,2909734.0,255521.0,4.93193904431316,56.16223607126424
2020-06-21,5266137.0,2961949.0,258498.0,4.908683537857067,56.24519453253875
2020-06-22,5356527.0,3021426.0,261202.0,4.876331249707134,56.406436483938194
2020-06-23,5447052.0,3090740.0,264396.0,4.853928326735269,56.741518164320816
2020-06-24,5536309.0,3163815.0,267659.0,4.834610929411634,57.146647703370604
2020-06-25,5635009.0,3229538.0,270612.0,4.80233483211828,57.312029137841655
2020-06-26,5734358.0,3305154.0,273832.0,4.775286091311355,57.63773381431714
2020-06-27,5830838.0,3376666.0,276744.0,4.746213151522989,57.91047530389285
2020-06-28,5927585.0,3441217.0,279089.0,4.70830869569985,58.05428348981921
2020-06-29,6018089.0,3503984.0,281666.0,4.680322939723889,58.224197083160455
